The Shawshank Redemption,1994,R,2h 22min,"Crime,Drama",9.3
The Godfather: Part II,1974,R,3h 22min,Drama",9.0
The Dark Knight,2008,PG-13,2h 32min,Crime",9.0
Schindler's List,1993,R,3h 15min,History",8.9
12 Angry Men,1957,NOT RATED,1h 36min,Drama",8.9
Pulp Fiction,1994,R,2h 34min,Drama",8.9
The Lord of the Rings: The Return of the King,2003,PG-13,3h 21min,Drama",8.9
"The Good, the Bad and the Ugly",1966,NOT RATED,2h 41min,Western",8.9
Fight Club,1999,R,2h 19min,Drama",8.9
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58min,Drama",8.8
Star Wars: Episode V - The Empire Strikes Back,1980,PG,2h 4min,Fantasy",8.8
Forrest Gump,1994,PG-13,2h 22min,Romance",8.8
Inception,2010,PG-13,2h 28min,Sci-Fi",8.8
The Lord of the Rings: The Two Towers,2002,PG-13,2h 59min,Drama",8.7
One Flew Over the Cuckoo's Nest,1975,R,2h 13min,Drama",8.7
Goodfellas,1990,R,2h 26min,Drama",8.7
The Matrix,1999,R,2h 16min,Sci-Fi",8.7
Seven Samurai,1954,UNRATED,3h 27min,Drama",8.7
Star Wars: Episode IV - A New Hope,1977,PG,2h 1min,Fantasy",8.7
City of God,2002,R,2h 10min,Drama",8.7
Se7en,1995,R,2h 7min,Mystery",8.6
The Silence of the Lambs,1991,R,1h 58min,Horror",8.6
It's a Wonderful Life,1946,PG,2h 10min,Fantasy",8.6
The Usual Suspects,1995,R,1h 46min,Mystery",8.6
Life Is Beautiful,1997,PG-13,1h 56min,Romance",8.6
Léon: The Professional,1994,R,1h 50min,Thriller",8.6
Once Upon a Time in the West,1968,PG-13,2h 55min,Western",8.6
Spirited Away,2001,PG,2h 5min,Family",8.6
Saving Private Ryan,1998,R,2h 49min,War",8.6
American History X,1998,R,1h 59min,Drama",8.6
Interstellar,2014,PG-13,2h 49min,Sci-Fi",8.6
Casablanca,1942,PG,1h 42min,War",8.6
Psycho,1960,R,1h 49min,Thriller",8.5
City Lights,1931,PASSED,1h 27min,Romance",8.6
Raiders of the Lost Ark,1981,PG,1h 55min,Adventure",8.5
The Intouchables,2011,R,1h 52min,Drama",8.6
Modern Times,1936,G,1h 27min,Drama",8.6
Rear Window,1954,APPROVED,1h 52min,Thriller",8.5
The Green Mile,1999,R,3h 9min,Fantasy",8.5
Terminator 2: Judgment Day,1991,R,2h 17min,Sci-Fi",8.5
The Departed,2006,R,2h 31min,Thriller",8.5
The Pianist,2002,R,2h 30min,War",8.5
Back to the Future,1985,PG,1h 56min,Sci-Fi",8.5
Whiplash,2014,R,1h 47min,Music",8.5
Gladiator,2000,R,2h 35min,Drama",8.5
Memento,2000,R,1h 53min,Thriller",8.5
Apocalypse Now,1979,R,2h 33min,War",8.5
The Prestige,2006,PG-13,2h 10min,Sci-Fi",8.5
The Lion King,1994,G,1h 29min,Drama",8.5
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,1h 35min,Comedy",8.5
Sunset Blvd.,1950,NOT RATED,1h 50min,Film-Noir",8.5
Alien,1979,R,1h 57min,Sci-Fi",8.5
The Great Dictator,1940,APPROVED,2h 5min,War",8.5
The Lives of Others,2006,R,2h 17min,Thriller",8.5
Cinema Paradiso,1988,R,2h 35min,Drama",8.5
Paths of Glory,1957,APPROVED,1h 28min,War",8.5
Django Unchained,2012,R,2h 45min,Western",8.5
The Shining,1980,R,2h 26min,Horror",8.4
Grave of the Fireflies,1988,UNRATED,1h 29min,War",8.5
WALL·E,2008,G,1h 38min,Family",8.4
The Dark Knight Rises,2012,PG-13,2h 44min,Thriller",8.5
American Beauty,1999,R,2h 2min,Drama",8.4
Aliens,1986,R,2h 17min,Sci-Fi",8.4
Princess Mononoke,1997,PG-13,2h 14min,Fantasy",8.4
Oldeuboi,2003,R,2h,Thriller",8.4
Citizen Kane,1941,APPROVED,1h 59min,Mystery",8.4
Once Upon a Time in America,1984,R,3h 49min,Drama",8.4
North by Northwest,1959,APPROVED,2h 16min,Crime",8.4
Das Boot,1981,R,2h 29min,Thriller",8.4
Vertigo,1958,PG,2h 8min,Thriller",8.4
Witness for the Prosecution,1957,APPROVED,1h 56min,Mystery",8.4
Star Wars: Episode VI - Return of the Jedi,1983,PG,2h 11min,Fantasy",8.4
M,1931,NOT RATED,1h 39min,Mystery",8.4
Reservoir Dogs,1992,R,1h 39min,Thriller",8.4
Braveheart,1995,R,2h 58min,History",8.4
Amélie,2001,R,2h 2min,Romance",8.4
Requiem for a Dream,2000,R,1h 42min,Drama",8.4
A Clockwork Orange,1971,X,2h 16min,Sci-Fi",8.4
Taxi Driver,1976,R,1h 53min,Drama",8.3
Double Indemnity,1944,PASSED,1h 47min,Film-Noir",8.4
Toy Story 3,2010,G,1h 43min,Comedy",8.3
Lawrence of Arabia,1962,PG,3h 36min,Drama",8.4
To Kill a Mockingbird,1962,NOT RATED,2h 9min,Drama",8.4
Eternal Sunshine of the Spotless Mind,2004,R,1h 48min,Sci-Fi",8.3
Full Metal Jacket,1987,R,1h 56min,War",8.3
Amadeus,1984,R,2h 40min,History",8.3
The Sting,1973,PG,2h 9min,Drama",8.3
2001: A Space Odyssey,1968,G,2h 29min,Sci-Fi",8.3
Bicycle Thieves,1948,NOT RATED,1h 29min,Drama",8.3
Singin' in the Rain,1952,APPROVED,1h 43min,Romance",8.3
Snatch,2000,R,1h 42min,Crime",8.3
Toy Story,1995,G,1h 21min,Comedy",8.3
Monty Python and the Holy Grail,1975,PG,1h 31min,Fantasy",8.3
Inglourious Basterds,2009,R,2h 33min,War",8.3
The Kid,1921,NOT RATED,1h 8min,Family",8.4
L.A. Confidential,1997,R,2h 18min,Mystery",8.3
For a Few Dollars More,1965,APPROVED,2h 12min,Western",8.3
Rashômon,1950,UNRATED,1h 28min,Drama",8.3
The Apartment,1960,APPROVED,2h 5min,Romance",8.3
Indiana Jones and the Last Crusade,1989,PG-13,2h 7min,Fantasy",8.3
Scarface,1983,R,2h 50min,Drama",8.3
Jodaeiye Nader az Simin,2011,PG-13,2h 3min,Mystery",8.4
Metropolis,1927,NOT RATED,2h 33min,Sci-Fi",8.3
All About Eve,1950,APPROVED,2h 18min,Drama",8.3
3 Idiots,2009,PG-13,2h 50min,Drama",8.4
Yojimbo,1961,UNRATED,1h 50min,Thriller",8.3
Jagten,2012,R,1h 55min,Drama",8.3
Batman Begins,2005,PG-13,2h 20min,Adventure",8.3
The Treasure of the Sierra Madre,1948,NOT RATED,2h 6min,Drama",8.3
Some Like It Hot,1959,NOT RATED,2h,Romance",8.3
Good Will Hunting,1997,R,2h 6min,Drama",8.3
Up,2009,PG,1h 36min,Comedy",8.3
Unforgiven,1992,R,2h 11min,Western",8.3
The Third Man,1949,NOT RATED,1h 33min,Thriller",8.3
Children of Heaven,1997,PG,1h 29min,Family",8.5
Raging Bull,1980,R,2h 9min,Sport",8.3
Downfall,2004,R,2h 36min,History",8.3
Inside Out,2015,PG,1h 35min,Comedy",8.3
Die Hard,1988,R,2h 11min,Thriller",8.2
